player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal,medal_score
3,Edgar Aabye,M,Denmark/Sweden,DEN,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold,3
37,Arvo Aaltonen,M,Finland,FIN,1920,Summer,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,1
38,Arvo Aaltonen,M,Finland,FIN,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Bronze,1
41,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,1
42,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold,3
44,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold,3
48,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,3
50,Paavo Aaltonen,M,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze,1
79,Ragnhild Aamodt,F,Norway,NOR,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold,3
86,Alf Aanning,M,Norway,NOR,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver,2
91,Willemien Aardenburg,F,Netherlands,NED,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze,1
92,Pepijn Aardewijn,M,Netherlands,NED,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver,2
105,Ann Aarnes,F,Norway,NOR,1996,Summer,Atlanta,Football,Football Women's Football,Bronze,1
106,Karl Aas,M,Norway,NOR,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver,2
117,Thomas Aas,M,Taifun,NOR,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Gold,3
150,Ren Abadie,M,France,FRA,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold,3
158,Giovanni Abagnale,M,Italy,ITA,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze,1
159,Jos Gmez,M,Spain,ESP,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze,1
